# Renewables.ninja Heating & cooling demand (Point API) - 64.589, -146.974 - Version: 1.0 - License: https://creativecommons.org/licenses/by-nc/4.0/ - Reference: https://doi.org/10.1038/s41560-023-01341-5
# Units: time in UTC, local_time in America/Anchorage, total_demand in unknown, heating_demand in unknown, cooling_demand in unknown
# {"units": {"time": "UTC", "local_time": "America/Anchorage", "total_demand": "unknown", "heating_demand": "unknown", "cooling_demand": "unknown"}, "params": {"local_time": "true", "header": "true", "lat": "64.5885649933064", "lon": "-146.9740456504106", "date_from": "2019-01-01", "date_to": "2019-12-31", "dataset": "merra2", "heating_threshold": "14", "cooling_threshold": "20", "base_power": "0", "heating_power": "0.3", "cooling_power": "0.15", "smoothing": "0.5", "solar_gains": "0.012", "wind_chill": "-0.2", "humidity_discomfort": "0.05", "use_diurnal_profile": "true"}}
time,local_time,total_demand,heating_demand,cooling_demand
2019-01-01 00:00,2018-12-31 15:00,6.209,6.209,0
2019-01-01 01:00,2018-12-31 16:00,6.200,6.200,0
2019-01-01 02:00,2018-12-31 17:00,6.119,6.119,0
2019-01-01 03:00,2018-12-31 18:00,5.992,5.992,0
2019-01-01 04:00,2018-12-31 19:00,5.903,5.903,0
2019-01-01 05:00,2018-12-31 20:00,5.935,5.935,0
2019-01-01 06:00,2018-12-31 21:00,6.094,6.094,0
2019-01-01 07:00,2018-12-31 22:00,6.162,6.162,0
2019-01-01 08:00,2018-12-31 23:00,6.102,6.102,0
2019-01-01 09:00,2019-01-01 00:00,5.905,5.905,0
2019-01-01 10:00,2019-01-01 01:00,5.623,5.623,0
2019-01-01 11:00,2019-01-01 02:00,5.357,5.357,0
2019-01-01 12:00,2019-01-01 03:00,5.100,5.100,0
2019-01-01 13:00,2019-01-01 04:00,4.839,4.839,0
2019-01-01 14:00,2019-01-01 05:00,4.645,4.645,0
2019-01-01 15:00,2019-01-01 06:00,4.592,4.592,0
2019-01-01 16:00,2019-01-01 07:00,4.776,4.776,0
2019-01-01 17:00,2019-01-01 08:00,5.145,5.145,0
2019-01-01 18:00,2019-01-01 09:00,5.187,5.187,0
2019-01-01 19:00,2019-01-01 10:00,4.892,4.892,0
