LAT,LON,YEAR,MO,DY,ALLSKY_SFC_SW_DWN (kW-hr/m^2/day)
63.5,-149.5,2024,1,1,0.07
63.5,-149.0,2024,1,1,-999.0
63.5,-148.5,2024,1,1,0.07
63.5,-148.0,2024,1,1,-999.0
63.5,-147.5,2024,1,1,0.09
63.5,-147.0,2024,1,1,-999.0
63.5,-146.5,2024,1,1,0.09
63.5,-146.0,2024,1,1,-999.0
63.5,-145.5,2024,1,1,0.12
63.5,-145.0,2024,1,1,-999.0
63.5,-144.5,2024,1,1,0.12
63.5,-144.0,2024,1,1,-999.0
64.0,-149.5,2024,1,1,-999.0
64.0,-149.0,2024,1,1,-999.0
64.0,-148.5,2024,1,1,-999.0
64.0,-148.0,2024,1,1,-999.0
64.0,-147.5,2024,1,1,-999.0
64.0,-147.0,2024,1,1,-999.0
64.0,-146.5,2024,1,1,-999.0
64.0,-146.0,2024,1,1,-999.0
64.0,-145.5,2024,1,1,-999.0
64.0,-145.0,2024,1,1,-999.0
64.0,-144.5,2024,1,1,-999.0
64.0,-144.0,2024,1,1,-999.0
64.5,-149.5,2024,1,1,0.05
64.5,-149.0,2024,1,1,-999.0
64.5,-148.5,2024,1,1,0.05
64.5,-148.0,2024,1,1,-999.0
64.5,-147.5,2024,1,1,0.05
64.5,-147.0,2024,1,1,-999.0
64.5,-146.5,2024,1,1,0.05
64.5,-146.0,2024,1,1,-999.0
64.5,-145.5,2024,1,1,0.07
64.5,-145.0,2024,1,1,-999.0
64.5,-144.5,2024,1,1,0.07
64.5,-144.0,2024,1,1,-999.0
65.0,-149.5,2024,1,1,-999.0
65.0,-149.0,2024,1,1,-999.0
65.0,-148.5,2024,1,1,-999.0
65.0,-148.0,2024,1,1,-999.0
65.0,-147.5,2024,1,1,-999.0
65.0,-147.0,2024,1,1,-999.0
65.0,-146.5,2024,1,1,-999.0
65.0,-146.0,2024,1,1,-999.0
65.0,-145.5,2024,1,1,-999.0
65.0,-145.0,2024,1,1,-999.0
65.0,-144.5,2024,1,1,-999.0
65.0,-144.0,2024,1,1,-999.0
65.5,-149.5,2024,1,1,0.03
65.5,-149.0,2024,1,1,-999.0
65.5,-148.5,2024,1,1,0.03
65.5,-148.0,2024,1,1,-999.0
65.5,-147.5,2024,1,1,0.03
65.5,-147.0,2024,1,1,-999.0
65.5,-146.5,2024,1,1,0.03
65.5,-146.0,2024,1,1,-999.0
65.5,-145.5,2024,1,1,0.03
65.5,-145.0,2024,1,1,-999.0
65.5,-144.5,2024,1,1,0.03
65.5,-144.0,2024,1,1,-999.0
63.5,-149.5,2024,1,2,0.08
63.5,-149.0,2024,1,2,-999.0
63.5,-148.5,2024,1,2,0.08
63.5,-148.0,2024,1,2,-999.0
63.5,-147.5,2024,1,2,0.07
63.5,-147.0,2024,1,2,-999.0
63.5,-146.5,2024,1,2,0.07
63.5,-146.0,2024,1,2,-999.0
63.5,-145.5,2024,1,2,0.09
63.5,-145.0,2024,1,2,-999.0
63.5,-144.5,2024,1,2,0.09
63.5,-144.0,2024,1,2,-999.0
64.0,-149.5,2024,1,2,-999.0
64.0,-149.0,2024,1,2,-999.0
64.0,-148.5,2024,1,2,-999.0
64.0,-148.0,2024,1,2,-999.0
64.0,-147.5,2024,1,2,-999.0
64.0,-147.0,2024,1,2,-999.0
64.0,-146.5,2024,1,2,-999.0
64.0,-146.0,2024,1,2,-999.0
64.0,-145.5,2024,1,2,-999.0
64.0,-145.0,2024,1,2,-999.0
64.0,-144.5,2024,1,2,-999.0
64.0,-144.0,2024,1,2,-999.0
64.5,-149.5,2024,1,2,0.05
64.5,-149.0,2024,1,2,-999.0
64.5,-148.5,2024,1,2,0.05
64.5,-148.0,2024,1,2,-999.0
64.5,-147.5,2024,1,2,0.06
64.5,-147.0,2024,1,2,-999.0
64.5,-146.5,2024,1,2,0.06
64.5,-146.0,2024,1,2,-999.0
64.5,-145.5,2024,1,2,0.07
64.5,-145.0,2024,1,2,-999.0
64.5,-144.5,2024,1,2,0.07
64.5,-144.0,2024,1,2,-999.0
65.0,-149.5,2024,1,2,-999.0
65.0,-149.0,2024,1,2,-999.0
65.0,-148.5,2024,1,2,-999.0
65.0,-148.0,2024,1,2,-999.0
65.0,-147.5,2024,1,2,-999.0
65.0,-147.0,2024,1,2,-999.0
65.0,-146.5,2024,1,2,-999.0
65.0,-146.0,2024,1,2,-999.0
65.0,-145.5,2024,1,2,-999.0
65.0,-145.0,2024,1,2,-999.0
65.0,-144.5,2024,1,2,-999.0
65.0,-144.0,2024,1,2,-999.0
65.5,-149.5,2024,1,2,0.02
65.5,-149.0,2024,1,2,-999.0
65.5,-148.5,2024,1,2,0.02
65.5,-148.0,2024,1,2,-999.0
65.5,-147.5,2024,1,2,0.03
65.5,-147.0,2024,1,2,-999.0
65.5,-146.5,2024,1,2,0.03
65.5,-146.0,2024,1,2,-999.0
65.5,-145.5,2024,1,2,0.03
65.5,-145.0,2024,1,2,-999.0
65.5,-144.5,2024,1,2,0.03
65.5,-144.0,2024,1,2,-999.0
63.5,-149.5,2024,1,3,0.07
63.5,-149.0,2024,1,3,-999.0
63.5,-148.5,2024,1,3,0.07
63.5,-148.0,2024,1,3,-999.0
63.5,-147.5,2024,1,3,0.07
63.5,-147.0,2024,1,3,-999.0
63.5,-146.5,2024,1,3,0.07
63.5,-146.0,2024,1,3,-999.0
63.5,-145.5,2024,1,3,0.07
63.5,-145.0,2024,1,3,-999.0
63.5,-144.5,2024,1,3,0.07
63.5,-144.0,2024,1,3,-999.0
64.0,-149.5,2024,1,3,-999.0
64.0,-149.0,2024,1,3,-999.0
64.0,-148.5,2024,1,3,-999.0
64.0,-148.0,2024,1,3,-999.0
64.0,-147.5,2024,1,3,-999.0
64.0,-147.0,2024,1,3,-999.0
64.0,-146.5,2024,1,3,-999.0
64.0,-146.0,2024,1,3,-999.0
64.0,-145.5,2024,1,3,-999.0
64.0,-145.0,2024,1,3,-999.0
64.0,-144.5,2024,1,3,-999.0
64.0,-144.0,2024,1,3,-999.0
64.5,-149.5,2024,1,3,0.07
64.5,-149.0,2024,1,3,-999.0
64.5,-148.5,2024,1,3,0.07
64.5,-148.0,2024,1,3,-999.0
64.5,-147.5,2024,1,3,0.07
64.5,-147.0,2024,1,3,-999.0
64.5,-146.5,2024,1,3,0.07
64.5,-146.0,2024,1,3,-999.0
64.5,-145.5,2024,1,3,0.08
64.5,-145.0,2024,1,3,-999.0
64.5,-144.5,2024,1,3,0.08
64.5,-144.0,2024,1,3,-999.0
65.0,-149.5,2024,1,3,-999.0
65.0,-149.0,2024,1,3,-999.0
65.0,-148.5,2024,1,3,-999.0
65.0,-148.0,2024,1,3,-999.0
65.0,-147.5,2024,1,3,-999.0
65.0,-147.0,2024,1,3,-999.0
65.0,-146.5,2024,1,3,-999.0
65.0,-146.0,2024,1,3,-999.0
65.0,-145.5,2024,1,3,-999.0
65.0,-145.0,2024,1,3,-999.0
65.0,-144.5,2024,1,3,-999.0
65.0,-144.0,2024,1,3,-999.0
65.5,-149.5,2024,1,3,0.04
65.5,-149.0,2024,1,3,-999.0
65.5,-148.5,2024,1,3,0.04
65.5,-148.0,2024,1,3,-999.0
65.5,-147.5,2024,1,3,0.04
65.5,-147.0,2024,1,3,-999.0
65.5,-146.5,2024,1,3,0.04
65.5,-146.0,2024,1,3,-999.0
65.5,-145.5,2024,1,3,0.04
65.5,-145.0,2024,1,3,-999.0
65.5,-144.5,2024,1,3,0.04
65.5,-144.0,2024,1,3,-999.0
63.5,-149.5,2024,1,4,0.09
63.5,-149.0,2024,1,4,-999.0
63.5,-148.5,2024,1,4,0.09
63.5,-148.0,2024,1,4,-999.0
63.5,-147.5,2024,1,4,0.08
63.5,-147.0,2024,1,4,-999.0
63.5,-146.5,2024,1,4,0.08
63.5,-146.0,2024,1,4,-999.0
63.5,-145.5,2024,1,4,0.06
63.5,-145.0,2024,1,4,-999.0
63.5,-144.5,2024,1,4,0.06
63.5,-144.0,2024,1,4,-999.0
64.0,-149.5,2024,1,4,-999.0
64.0,-149.0,2024,1,4,-999.0
64.0,-148.5,2024,1,4,-999.0
64.0,-148.0,2024,1,4,-999.0
64.0,-147.5,2024,1,4,-999.0
64.0,-147.0,2024,1,4,-999.0
64.0,-146.5,2024,1,4,-999.0
64.0,-146.0,2024,1,4,-999.0
64.0,-145.5,2024,1,4,-999.0
64.0,-145.0,2024,1,4,-999.0
64.0,-144.5,2024,1,4,-999.0
64.0,-144.0,2024,1,4,-999.0
64.5,-149.5,2024,1,4,0.06
64.5,-149.0,2024,1,4,-999.0
64.5,-148.5,2024,1,4,0.06
64.5,-148.0,2024,1,4,-999.0
64.5,-147.5,2024,1,4,0.06
64.5,-147.0,2024,1,4,-999.0
64.5,-146.5,2024,1,4,0.06
64.5,-146.0,2024,1,4,-999.0
64.5,-145.5,2024,1,4,0.06
64.5,-145.0,2024,1,4,-999.0
64.5,-144.5,2024,1,4,0.06
64.5,-144.0,2024,1,4,-999.0
65.0,-149.5,2024,1,4,-999.0
65.0,-149.0,2024,1,4,-999.0
65.0,-148.5,2024,1,4,-999.0
65.0,-148.0,2024,1,4,-999.0
65.0,-147.5,2024,1,4,-999.0
65.0,-147.0,2024,1,4,-999.0
65.0,-146.5,2024,1,4,-999.0
65.0,-146.0,2024,1,4,-999.0
65.0,-145.5,2024,1,4,-999.0
65.0,-145.0,2024,1,4,-999.0
65.0,-144.5,2024,1,4,-999.0
65.0,-144.0,2024,1,4,-999.0
65.5,-149.5,2024,1,4,0.03
65.5,-149.0,2024,1,4,-999.0
65.5,-148.5,2024,1,4,0.03
65.5,-148.0,2024,1,4,-999.0
65.5,-147.5,2024,1,4,0.04
65.5,-147.0,2024,1,4,-999.0
65.5,-146.5,2024,1,4,0.04
65.5,-146.0,2024,1,4,-999.0
65.5,-145.5,2024,1,4,0.03
65.5,-145.0,2024,1,4,-999.0
65.5,-144.5,2024,1,4,0.03
65.5,-144.0,2024,1,4,-999.0
63.5,-149.5,2024,1,5,0.09
63.5,-149.0,2024,1,5,-999.0
63.5,-148.5,2024,1,5,0.09
63.5,-148.0,2024,1,5,-999.0
63.5,-147.5,2024,1,5,0.09
63.5,-147.0,2024,1,5,-999.0
63.5,-146.5,2024,1,5,0.09
63.5,-146.0,2024,1,5,-999.0
63.5,-145.5,2024,1,5,0.1
63.5,-145.0,2024,1,5,-999.0
63.5,-144.5,2024,1,5,0.1
63.5,-144.0,2024,1,5,-999.0
64.0,-149.5,2024,1,5,-999.0
64.0,-149.0,2024,1,5,-999.0
64.0,-148.5,2024,1,5,-999.0
64.0,-148.0,2024,1,5,-999.0
64.0,-147.5,2024,1,5,-999.0
64.0,-147.0,2024,1,5,-999.0
64.0,-146.5,2024,1,5,-999.0
64.0,-146.0,2024,1,5,-999.0
64.0,-145.5,2024,1,5,-999.0
64.0,-145.0,2024,1,5,-999.0
64.0,-144.5,2024,1,5,-999.0
64.0,-144.0,2024,1,5,-999.0
64.5,-149.5,2024,1,5,0.08
64.5,-149.0,2024,1,5,-999.0
64.5,-148.5,2024,1,5,0.08
64.5,-148.0,2024,1,5,-999.0
64.5,-147.5,2024,1,5,0.07
64.5,-147.0,2024,1,5,-999.0
64.5,-146.5,2024,1,5,0.07
64.5,-146.0,2024,1,5,-999.0
64.5,-145.5,2024,1,5,0.08
64.5,-145.0,2024,1,5,-999.0
64.5,-144.5,2024,1,5,0.08
64.5,-144.0,2024,1,5,-999.0
65.0,-149.5,2024,1,5,-999.0
65.0,-149.0,2024,1,5,-999.0
65.0,-148.5,2024,1,5,-999.0
65.0,-148.0,2024,1,5,-999.0
65.0,-147.5,2024,1,5,-999.0
65.0,-147.0,2024,1,5,-999.0
65.0,-146.5,2024,1,5,-999.0
65.0,-146.0,2024,1,5,-999.0
65.0,-145.5,2024,1,5,-999.0
65.0,-145.0,2024,1,5,-999.0
65.0,-144.5,2024,1,5,-999.0
65.0,-144.0,2024,1,5,-999.0
65.5,-149.5,2024,1,5,0.04
65.5,-149.0,2024,1,5,-999.0
65.5,-148.5,2024,1,5,0.04
65.5,-148.0,2024,1,5,-999.0
65.5,-147.5,2024,1,5,0.04
65.5,-147.0,2024,1,5,-999.0
65.5,-146.5,2024,1,5,0.04
65.5,-146.0,2024,1,5,-999.0
65.5,-145.5,2024,1,5,0.04
65.5,-145.0,2024,1,5,-999.0
65.5,-144.5,2024,1,5,0.04
65.5,-144.0,2024,1,5,-999.0
63.5,-149.5,2024,1,6,0.13
63.5,-149.0,2024,1,6,-999.0
63.5,-148.5,2024,1,6,0.13
63.5,-148.0,2024,1,6,-999.0
63.5,-147.5,2024,1,6,0.14
63.5,-147.0,2024,1,6,-999.0
63.5,-146.5,2024,1,6,0.14
63.5,-146.0,2024,1,6,-999.0
63.5,-145.5,2024,1,6,0.15
63.5,-145.0,2024,1,6,-999.0
63.5,-144.5,2024,1,6,0.15
63.5,-144.0,2024,1,6,-999.0
64.0,-149.5,2024,1,6,-999.0
64.0,-149.0,2024,1,6,-999.0
64.0,-148.5,2024,1,6,-999.0
64.0,-148.0,2024,1,6,-999.0
64.0,-147.5,2024,1,6,-999.0
64.0,-147.0,2024,1,6,-999.0
64.0,-146.5,2024,1,6,-999.0
64.0,-146.0,2024,1,6,-999.0
64.0,-145.5,2024,1,6,-999.0
64.0,-145.0,2024,1,6,-999.0
64.0,-144.5,2024,1,6,-999.0
64.0,-144.0,2024,1,6,-999.0
64.5,-149.5,2024,1,6,0.09
64.5,-149.0,2024,1,6,-999.0
64.5,-148.5,2024,1,6,0.09
64.5,-148.0,2024,1,6,-999.0
64.5,-147.5,2024,1,6,0.09
64.5,-147.0,2024,1,6,-999.0
64.5,-146.5,2024,1,6,0.09
64.5,-146.0,2024,1,6,-999.0
64.5,-145.5,2024,1,6,0.09
64.5,-145.0,2024,1,6,-999.0
64.5,-144.5,2024,1,6,0.09
64.5,-144.0,2024,1,6,-999.0
65.0,-149.5,2024,1,6,-999.0
65.0,-149.0,2024,1,6,-999.0
65.0,-148.5,2024,1,6,-999.0
65.0,-148.0,2024,1,6,-999.0
65.0,-147.5,2024,1,6,-999.0
65.0,-147.0,2024,1,6,-999.0
65.0,-146.5,2024,1,6,-999.0
65.0,-146.0,2024,1,6,-999.0
65.0,-145.5,2024,1,6,-999.0
65.0,-145.0,2024,1,6,-999.0
65.0,-144.5,2024,1,6,-999.0
65.0,-144.0,2024,1,6,-999.0
65.5,-149.5,2024,1,6,0.05
65.5,-149.0,2024,1,6,-999.0
65.5,-148.5,2024,1,6,0.05
65.5,-148.0,2024,1,6,-999.0
65.5,-147.5,2024,1,6,0.05
65.5,-147.0,2024,1,6,-999.0
65.5,-146.5,2024,1,6,0.05
65.5,-146.0,2024,1,6,-999.0
65.5,-145.5,2024,1,6,0.04
65.5,-145.0,2024,1,6,-999.0
65.5,-144.5,2024,1,6,0.04
65.5,-144.0,2024,1,6,-999.0
63.5,-149.5,2024,1,7,0.06
63.5,-149.0,2024,1,7,-999.0
63.5,-148.5,2024,1,7,0.06
63.5,-148.0,2024,1,7,-999.0
63.5,-147.5,2024,1,7,0.06
63.5,-147.0,2024,1,7,-999.0
63.5,-146.5,2024,1,7,0.06
63.5,-146.0,2024,1,7,-999.0
63.5,-145.5,2024,1,7,0.07
63.5,-145.0,2024,1,7,-999.0
63.5,-144.5,2024,1,7,0.07
63.5,-144.0,2024,1,7,-999.0
64.0,-149.5,2024,1,7,-999.0
64.0,-149.0,2024,1,7,-999.0
64.0,-148.5,2024,1,7,-999.0
64.0,-148.0,2024,1,7,-999.0
64.0,-147.5,2024,1,7,-999.0
64.0,-147.0,2024,1,7,-999.0
64.0,-146.5,2024,1,7,-999.0
64.0,-146.0,2024,1,7,-999.0
64.0,-145.5,2024,1,7,-999.0
64.0,-145.0,2024,1,7,-999.0
64.0,-144.5,2024,1,7,-999.0
64.0,-144.0,2024,1,7,-999.0
64.5,-149.5,2024,1,7,0.06
64.5,-149.0,2024,1,7,-999.0
64.5,-148.5,2024,1,7,0.06
64.5,-148.0,2024,1,7,-999.0
64.5,-147.5,2024,1,7,0.06
64.5,-147.0,2024,1,7,-999.0
64.5,-146.5,2024,1,7,0.06
64.5,-146.0,2024,1,7,-999.0
64.5,-145.5,2024,1,7,0.06
64.5,-145.0,2024,1,7,-999.0
64.5,-144.5,2024,1,7,0.06
64.5,-144.0,2024,1,7,-999.0
65.0,-149.5,2024,1,7,-999.0
65.0,-149.0,2024,1,7,-999.0
65.0,-148.5,2024,1,7,-999.0
65.0,-148.0,2024,1,7,-999.0
65.0,-147.5,2024,1,7,-999.0
65.0,-147.0,2024,1,7,-999.0
65.0,-146.5,2024,1,7,-999.0
65.0,-146.0,2024,1,7,-999.0
65.0,-145.5,2024,1,7,-999.0
65.0,-145.0,2024,1,7,-999.0
65.0,-144.5,2024,1,7,-999.0
65.0,-144.0,2024,1,7,-999.0
65.5,-149.5,2024,1,7,0.03
65.5,-149.0,2024,1,7,-999.0
65.5,-148.5,2024,1,7,0.03
65.5,-148.0,2024,1,7,-999.0
65.5,-147.5,2024,1,7,0.04
65.5,-147.0,2024,1,7,-999.0
65.5,-146.5,2024,1,7,0.04
65.5,-146.0,2024,1,7,-999.0
65.5,-145.5,2024,1,7,0.03
65.5,-145.0,2024,1,7,-999.0
65.5,-144.5,2024,1,7,0.03
65.5,-144.0,2024,1,7,-999.0
63.5,-149.5,2024,1,8,0.1
63.5,-149.0,2024,1,8,-999.0
63.5,-148.5,2024,1,8,0.1
63.5,-148.0,2024,1,8,-999.0
63.5,-147.5,2024,1,8,0.09
63.5,-147.0,2024,1,8,-999.0
63.5,-146.5,2024,1,8,0.09
63.5,-146.0,2024,1,8,-999.0
63.5,-145.5,2024,1,8,0.09
63.5,-145.0,2024,1,8,-999.0
63.5,-144.5,2024,1,8,0.09
63.5,-144.0,2024,1,8,-999.0
64.0,-149.5,2024,1,8,-999.0
64.0,-149.0,2024,1,8,-999.0
64.0,-148.5,2024,1,8,-999.0
64.0,-148.0,2024,1,8,-999.0
64.0,-147.5,2024,1,8,-999.0
64.0,-147.0,2024,1,8,-999.0
64.0,-146.5,2024,1,8,-999.0
64.0,-146.0,2024,1,8,-999.0
64.0,-145.5,2024,1,8,-999.0
64.0,-145.0,2024,1,8,-999.0
64.0,-144.5,2024,1,8,-999.0
64.0,-144.0,2024,1,8,-999.0
64.5,-149.5,2024,1,8,0.07
64.5,-149.0,2024,1,8,-999.0
64.5,-148.5,2024,1,8,0.07
64.5,-148.0,2024,1,8,-999.0
64.5,-147.5,2024,1,8,0.06
64.5,-147.0,2024,1,8,-999.0
64.5,-146.5,2024,1,8,0.06
64.5,-146.0,2024,1,8,-999.0
64.5,-145.5,2024,1,8,0.07
64.5,-145.0,2024,1,8,-999.0
64.5,-144.5,2024,1,8,0.07
64.5,-144.0,2024,1,8,-999.0
65.0,-149.5,2024,1,8,-999.0
65.0,-149.0,2024,1,8,-999.0
65.0,-148.5,2024,1,8,-999.0
65.0,-148.0,2024,1,8,-999.0
65.0,-147.5,2024,1,8,-999.0
65.0,-147.0,2024,1,8,-999.0
65.0,-146.5,2024,1,8,-999.0
65.0,-146.0,2024,1,8,-999.0
65.0,-145.5,2024,1,8,-999.0
65.0,-145.0,2024,1,8,-999.0
65.0,-144.5,2024,1,8,-999.0
65.0,-144.0,2024,1,8,-999.0
65.5,-149.5,2024,1,8,0.04
65.5,-149.0,2024,1,8,-999.0
65.5,-148.5,2024,1,8,0.04
