latitude, longitude, year, month, day, wind Speed 
LAT,LON,YEAR,MO,DY,WS50M
63.5,-149.375,2024,1,1,5.56
63.5,-148.75,2024,1,1,5.51
63.5,-148.125,2024,1,1,5.7
63.5,-147.5,2024,1,1,3.84
63.5,-146.875,2024,1,1,2.93
63.5,-146.25,2024,1,1,3.21
63.5,-145.625,2024,1,1,3.98
63.5,-145.0,2024,1,1,4.5
63.5,-144.375,2024,1,1,4.18
64.0,-149.375,2024,1,1,6.46
64.0,-148.75,2024,1,1,6.1
64.0,-148.125,2024,1,1,4.65
64.0,-147.5,2024,1,1,3.69
64.0,-146.875,2024,1,1,3.76
64.0,-146.25,2024,1,1,5.44
64.0,-145.625,2024,1,1,6.1
64.0,-145.0,2024,1,1,4.68
64.0,-144.375,2024,1,1,5.25
64.5,-149.375,2024,1,1,4.35
64.5,-148.75,2024,1,1,3.34
64.5,-148.125,2024,1,1,4.1
64.5,-147.5,2024,1,1,4.2
64.5,-146.875,2024,1,1,4.06
64.5,-146.25,2024,1,1,4.89
64.5,-145.625,2024,1,1,6.96
64.5,-145.0,2024,1,1,6.73
64.5,-144.375,2024,1,1,5.59
65.0,-149.375,2024,1,1,8.03
65.0,-148.75,2024,1,1,7.59
65.0,-148.125,2024,1,1,7.69
65.0,-147.5,2024,1,1,8.55
65.0,-146.875,2024,1,1,9.92
65.0,-146.25,2024,1,1,8.75
65.0,-145.625,2024,1,1,7.02
65.0,-145.0,2024,1,1,5.56
65.0,-144.375,2024,1,1,4.14
65.5,-149.375,2024,1,1,9.17
65.5,-148.75,2024,1,1,8.46
65.5,-148.125,2024,1,1,9.01
65.5,-147.5,2024,1,1,9.15
65.5,-146.875,2024,1,1,8.26
65.5,-146.25,2024,1,1,7.33
65.5,-145.625,2024,1,1,4.79
65.5,-145.0,2024,1,1,2.04
65.5,-144.375,2024,1,1,1.71
63.5,-149.375,2024,1,2,8.63
63.5,-148.75,2024,1,2,8.09
63.5,-148.125,2024,1,2,8.02
63.5,-147.5,2024,1,2,6.07
63.5,-146.875,2024,1,2,5.13
63.5,-146.25,2024,1,2,5.07
63.5,-145.625,2024,1,2,5.28
63.5,-145.0,2024,1,2,5.72
63.5,-144.375,2024,1,2,5.16
64.0,-149.375,2024,1,2,8.68
64.0,-148.75,2024,1,2,7.89
64.0,-148.125,2024,1,2,6.4
64.0,-147.5,2024,1,2,6.01
64.0,-146.875,2024,1,2,5.55
64.0,-146.25,2024,1,2,6.15
64.0,-145.625,2024,1,2,6.87
64.0,-145.0,2024,1,2,6.82
64.0,-144.375,2024,1,2,7.4
64.5,-149.375,2024,1,2,5.78
64.5,-148.75,2024,1,2,5.17
64.5,-148.125,2024,1,2,6.18
64.5,-147.5,2024,1,2,7.21
64.5,-146.875,2024,1,2,8.03
64.5,-146.25,2024,1,2,8.78
64.5,-145.625,2024,1,2,9.79
64.5,-145.0,2024,1,2,9.16
64.5,-144.375,2024,1,2,7.75
65.0,-149.375,2024,1,2,9.55
65.0,-148.75,2024,1,2,8.92
65.0,-148.125,2024,1,2,9.43
65.0,-147.5,2024,1,2,10.92
65.0,-146.875,2024,1,2,12.56
65.0,-146.25,2024,1,2,11.15
65.0,-145.625,2024,1,2,9.17
